Designator,Mid X,Mid Y,Rotation,Layer
C1,109.6,-61.0,0.0,top
C2,109.6,-63.0,180.0,top
C3,92.0,-54.8,0.0,top
C4,92.0,-71.6,180.0,top
C5,109.6,-65.0,0.0,top
J1,104.33,-76.4,0.0,top
J2,97.6,-76.54,0.0,top
J3,101.0,-52.2,180.0,top
R1,92.0,-75.2,0.0,top
U1,101.2,-64.4,270.0,top
Y1,90.8,-63.21,90.0,top
